query	evalue	COG_category	Description	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	PFAMs
CAJ68447.1	3.72E-189	S	alpha/beta hydrolase fold	-	-	-	-	-	-	-	"Abhydrolase_1,Abhydrolase_6"
CAJ68448.1	1.01E-56	S	COG2197 Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain	-	-	-	-	-	-	-	Mor
CAJ68449.2	1.24E-258	GK	ROK family	-	-	-	-	-	-	-	"HTH_24,ROK"
CAJ68450.1	3.53E-227	G	BadF/BadG/BcrA/BcrD ATPase family	-	-	-	-	-	-	-	BcrAD_BadFG
CAJ68451.1	2.03E-295	-	-	-	-	-	-	-	-	-	-
CAJ68452.1	0	G	ATPases associated with a variety of cellular activities	ko:K10441	"ko02010,map02010"	M00212	-	-	"ko00000,ko00001,ko00002,ko01000,ko02000"	"3.A.1.2.1,3.A.1.2.13,3.A.1.2.19"	ABC_tran
CAJ68453.1	2.20E-205	U	Branched-chain amino acid transport system / permease component	ko:K10440	"ko02010,map02010"	M00212	-	-	"ko00000,ko00001,ko00002,ko02000"	"3.A.1.2.1,3.A.1.2.13,3.A.1.2.19"	BPD_transp_2
CAJ68454.1	6.29E-223	G	Periplasmic binding protein	ko:K10439	"ko02010,ko02030,map02010,map02030"	M00212	-	-	"ko00000,ko00001,ko00002,ko02000"	"3.A.1.2.1,3.A.1.2.13,3.A.1.2.19"	Peripla_BP_4
CAJ68455.1	2.20E-134	S	"Uncharacterised 5xTM membrane BCR, YitT family COG1284"	-	-	-	-	-	-	-	YitT_membrane
CAJ68456.1	0	P	"Part of the high-affinity ATP-driven potassium transport (or Kdp) system, which catalyzes the hydrolysis of ATP coupled with the electrogenic transport of potassium into the cytoplasm. This subunit binds and transports the potassium across the cytoplasmic membrane"	ko:K01546	"ko02020,map02020"	-	-	-	"ko00000,ko00001,ko01000"	3.A.3.7	KdpA
CAJ68457.1	0	P	"Part of the high-affinity ATP-driven potassium transport (or Kdp) system, which catalyzes the hydrolysis of ATP coupled with the electrogenic transport of potassium into the cytoplasm. This subunit is responsible for energy coupling to the transport system"	ko:K01547	"ko02020,map02020"	-	-	-	"ko00000,ko00001,ko01000"	3.A.3.7	"E1-E2_ATPase,Hydrolase"
CAJ68458.1	1.45E-138	P	"Part of the high-affinity ATP-driven potassium transport (or Kdp) system, which catalyzes the hydrolysis of ATP coupled with the electrogenic transport of potassium into the cytoplasm. This subunit acts as a catalytic chaperone that increases the ATP- binding affinity of the ATP-hydrolyzing subunit KdpB by the formation of a transient KdpB KdpC ATP ternary complex"	ko:K01548	"ko02020,map02020"	-	-	-	"ko00000,ko00001,ko01000"	3.A.3.7	KdpC
CAJ68459.1	1.08E-214	E	Pyridoxal-phosphate dependent enzyme	ko:K01738	"ko00270,ko00920,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00270,map00920,map01100,map01110,map01120,map01130,map01200,map01230"	M00021	"R00897,R03601,R04859"	"RC00020,RC02814,RC02821"	"ko00000,ko00001,ko00002,ko01000"	-	PALP
CAJ68460.2	2.17E-134	E	Serine acetyltransferase	ko:K00640	"ko00270,ko00920,ko01100,ko01110,ko01120,ko01200,ko01230,ko05111,map00270,map00920,map01100,map01110,map01120,map01200,map01230,map05111"	M00021	R00586	"RC00004,RC00041"	"ko00000,ko00001,ko00002,ko01000"	-	"Hexapep,SATase_N"
CAJ68461.1	6.78E-216	E	Metallopeptidase family M24	ko:K01265	-	-	-	-	"ko00000,ko01000,ko01002"	-	"Peptidase_M24,SEC-C"
CAJ68462.1	1.75E-261	-	-	-	-	-	-	-	-	-	-
CAJ68463.1	2.03E-67	L	GIY-YIG catalytic domain protein	ko:K07461	-	-	-	-	ko00000	-	GIY-YIG
CAJ68464.1	5.02E-185	H	pfkB family carbohydrate kinase	"ko:K00868,ko:K00941,ko:K14153"	"ko00730,ko00750,ko01100,map00730,map00750,map01100"	M00127	"R00174,R01909,R02493,R03223,R03471,R04509,R10712"	"RC00002,RC00017,RC00224,RC03255,RC03397"	"ko00000,ko00001,ko00002,ko01000"	-	Phos_pyr_kin
CAJ68465.1	6.56E-180	H	Catalyzes the phosphorylation of the hydroxyl group of 4-methyl-5-beta-hydroxyethylthiazole (THZ)	ko:K00878	"ko00730,ko01100,map00730,map01100"	M00127	R04448	"RC00002,RC00017"	"ko00000,ko00001,ko00002,ko01000"	-	HK
CAJ68466.1	2.71E-144	H	Condenses 4-methyl-5-(beta-hydroxyethyl)thiazole monophosphate (THZ-P) and 2-methyl-4-amino-5-hydroxymethyl pyrimidine pyrophosphate (HMP-PP) to form thiamine monophosphate (TMP)	ko:K00788	"ko00730,ko01100,map00730,map01100"	M00127	"R03223,R10712"	"RC00224,RC03255,RC03397"	"ko00000,ko00001,ko00002,ko01000"	-	TMP-TENI
CAJ68467.1	1.11E-65	G	"PFAM Phosphotransferase system, lactose cellobiose-specific IIB subunit"	ko:K02760	"ko00500,ko02060,map00500,map02060"	M00275	"R11170,R11172"	"RC00017,RC03206"	"ko00000,ko00001,ko00002,ko01000,ko02000"	4.A.3.2	PTS_IIB
CAJ68468.1	1.65E-163	V	ABC-2 type transporter	ko:K01992	-	M00254	-	-	"ko00000,ko00002,ko02000"	3.A.1	ABC2_membrane
CAJ68469.1	5.03E-229	V	Abc transporter	ko:K01990	-	M00254	-	-	"ko00000,ko00002,ko02000"	3.A.1	"ABC_tran,DUF4162"
CAJ68470.1	1.35E-111	KT	"Bacterial transcription activator, effector binding domain"	-	-	-	-	-	-	-	GyrI-like
CAJ68471.1	8.69E-76	K	"Transcriptional regulator, GntR family"	-	-	-	-	-	-	-	GntR
CAJ68472.1	7.09E-163	V	"ABC transporter, ATP-binding protein"	ko:K01990	-	M00254	-	-	"ko00000,ko00002,ko02000"	3.A.1	ABC_tran
CAJ68473.1	1.07E-175	-	-	-	-	-	-	-	-	-	-
CAJ68474.1	1.38E-275	-	-	-	-	-	-	-	-	-	-
CAJ68475.1	6.23E-178	-	-	-	-	-	-	-	-	-	-
CAJ68476.1	2.32E-297	-	-	-	-	-	-	-	-	-	-
CAJ68477.1	2.16E-285	Q	"Psort location Cytoplasmic, score"	-	-	-	-	-	-	-	Amidohydro_1
CAJ68478.1	6.20E-211	-	-	-	-	-	-	-	-	-	-
CAJ68479.1	8.33E-184	CP	ABC transporter	ko:K09697	"ko02010,ko02020,map02010,map02020"	M00253	-	-	"ko00000,ko00001,ko00002,ko01000,ko02000"	3.A.1.115	ABC_tran
CAJ68480.1	0	CP	ABC-2 family transporter protein	ko:K09696	"ko02010,ko02020,map02010,map02020"	M00253	-	-	"ko00000,ko00001,ko00002,ko02000"	3.A.1.115	"ABC2_membrane_2,ABC2_membrane_3,Abi"
CAJ68481.1	0	T	GGDEF domain	-	-	-	-	-	-	-	"EAL,GGDEF,dCache_1"
CAJ68482.1	1.04E-78	K	helix_turn_helix gluconate operon transcriptional repressor	-	-	-	-	-	-	-	GntR
CAJ68483.1	3.39E-167	V	ATPases associated with a variety of cellular activities	ko:K01990	-	M00254	-	-	"ko00000,ko00002,ko02000"	3.A.1	ABC_tran
CAJ68484.1	4.01E-161	V	"Psort location CytoplasmicMembrane, score"	-	-	-	-	-	-	-	-
CAJ68485.1	1.07E-283	G	PFAM Major Facilitator Superfamily	-	-	-	-	-	-	-	MFS_1
CAJ68486.1	3.96E-197	M	"Transporter, small conductance mechanosensitive ion channel MscS family protein"	ko:K03442	-	-	-	-	"ko00000,ko02000"	1.A.23.2	"MS_channel,TM_helix"
CAJ68487.1	2.23E-136	S	Peptidase propeptide and YPEB domain	-	-	-	-	-	-	-	PepSY
CAJ68488.1	0	C	Metallo-beta-lactamase superfamily	ko:K22405	-	-	-	-	"ko00000,ko01000"	-	"Flavodoxin_1,Lactamase_B,Pyr_redox_2"
CAJ68489.1	2.93E-173	KT	response regulator receiver	ko:K18349	"ko01502,ko02020,map01502,map02020"	"M00652,M00657"	-	-	"ko00000,ko00001,ko00002,ko01504,ko02022"	-	"Response_reg,Trans_reg_C"
CAJ68490.1	3.24E-253	T	ATPase histidine kinase DNA gyrase B HSP90 domain protein	ko:K18350	"ko01502,ko02020,map01502,map02020"	"M00652,M00657"	-	-	"ko00000,ko00001,ko00002,ko01000,ko01001,ko01504,ko02022"	-	"HAMP,HATPase_c,HisKA"
CAJ68491.1	7.60E-270	F	Belongs to the D-alanine--D-alanine ligase family	"ko:K01921,ko:K18856"	"ko00473,ko00550,ko01100,ko01502,ko02020,map00473,map00550,map01100,map01502,map02020"	M00652	R01150	"RC00064,RC00141"	"ko00000,ko00001,ko00002,ko01000,ko01011,ko01504"	-	"Dala_Dala_lig_C,Dala_Dala_lig_N"
CAJ68492.1	6.44E-199	M	"Psort location Cytoplasmic, score"	"ko:K07260,ko:K18866"	"ko00550,ko01100,ko01502,ko02020,map00550,map01100,map01502,map02020"	"M00651,M00652"	-	-	"ko00000,ko00001,ko00002,ko01000,ko01002,ko01011,ko01504"	-	VanY
CAJ68493.1	0	M	Catalyzes the interconversion of L-alanine and D- alanine. May also act on other amino acids	"ko:K01775,ko:K18348"	"ko00473,ko01100,ko01502,ko02020,map00473,map01100,map01502,map02020"	M00652	R00401	RC00285	"ko00000,ko00001,ko00002,ko01000,ko01011,ko01504"	-	"Acyl_transf_3,Ala_racemase_C,Ala_racemase_N"
CAJ68494.1	2.24E-141	S	SNARE associated Golgi protein	-	-	-	-	-	-	-	SNARE_assoc
CAJ68495.1	5.42E-117	S	"LexA-binding, inner membrane-associated putative hydrolase"	ko:K07038	-	-	-	-	ko00000	-	YdjM
CAJ68496.1	9.09E-173	C	Destroys radicals which are normally produced within the cells and which are toxic to biological systems	ko:K04564	"ko04013,ko04068,ko04146,ko04211,ko04212,ko04213,ko05016,map04013,map04068,map04146,map04211,map04212,map04213,map05016"	-	-	-	"ko00000,ko00001,ko01000"	-	"Sod_Fe_C,Sod_Fe_N"
CAJ68497.1	0	E	Asparagine synthase	ko:K01953	"ko00250,ko01100,ko01110,map00250,map01100,map01110"	-	R00578	RC00010	"ko00000,ko00001,ko01000,ko01002"	-	"Asn_synthase,GATase_7"
CAJ68498.1	0	O	Putative component of 'biosynthetic module'	ko:K04771	"ko01503,ko02020,map01503,map02020"	M00728	-	-	"ko00000,ko00001,ko00002,ko01000,ko01002,ko03110"	-	"Trypsin_2,YceG_bac"
CAJ68499.1	1.17E-136	T	TerD domain	ko:K05795	-	-	-	-	ko00000	-	TerD
CAJ68500.1	2.46E-138	T	TerD domain	ko:K05795	-	-	-	-	ko00000	-	TerD
CAJ68501.1	8.47E-152	T	TerD domain	-	-	-	-	-	-	-	TerD
CAJ68502.1	0	P	"Cation transporter/ATPase, N-terminus"	ko:K01537	-	-	-	-	"ko00000,ko01000"	3.A.3.2	"Cation_ATPase,Cation_ATPase_C,Cation_ATPase_N,E1-E2_ATPase,Hydrolase,Hydrolase_3"
CAJ68503.1	0	O	Putative component of 'biosynthetic module'	-	-	-	-	-	-	-	YceG_bac
CAJ68504.1	4.02E-262	P	Toxic anion resistance protein (TelA)	-	-	-	-	-	-	-	TelA
CAJ68505.1	2.13E-256	G	C-C_Bond_Lyase of the TIM-Barrel fold	-	-	-	-	-	-	-	C-C_Bond_Lyase
CAJ68506.2	1.35E-300	F	Phosphoribosyl transferase	-	-	-	-	-	-	-	"PRTase_2,TRSP"
CAJ68507.1	3.60E-266	J	PELOTA RNA binding domain	-	-	-	-	-	-	-	"PELOTA_1,PRTase_1,PRTase_2,TRSP"
CAJ68508.1	2.06E-188	S	Sucrose-6F-phosphate phosphohydrolase	-	-	-	-	-	-	-	"Hydrolase_3,S6PP"
CAJ68509.1	1.27E-133	K	domain protein	-	-	-	-	-	-	-	"Cupin_2,HTH_3"
CAJ68510.1	4.29E-275	S	"Psort location CytoplasmicMembrane, score 9.99"	-	-	-	-	-	-	-	DUF819
CAJ68511.1	4.03E-238	E	Membrane dipeptidase (Peptidase family M19)	ko:K01273	-	-	-	-	"ko00000,ko00537,ko01000,ko01002,ko04147"	-	Peptidase_M19
CAJ68512.1	1.35E-211	P	Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily	ko:K02015	"ko02010,map02010"	M00240	-	-	"ko00000,ko00001,ko00002,ko02000"	3.A.1.14	FecCD
CAJ68513.1	3.82E-207	P	Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily	ko:K02015	"ko02010,map02010"	M00240	-	-	"ko00000,ko00001,ko00002,ko02000"	3.A.1.14	FecCD
CAJ68514.1	2.58E-176	P	ATPases associated with a variety of cellular activities	ko:K02013	"ko02010,map02010"	M00240	-	-	"ko00000,ko00001,ko00002,ko01000,ko02000"	3.A.1.14	ABC_tran
CAJ68515.1	1.13E-221	P	Periplasmic binding protein	ko:K02016	"ko02010,map02010"	M00240	-	-	"ko00000,ko00001,ko00002,ko02000"	3.A.1.14	Peripla_BP_2
CAJ68516.1	0	T	GGDEF domain	-	-	-	-	-	-	-	"EAL,GGDEF"
CAJ68517.1	1.59E-142	T	TerD domain	ko:K05792	-	-	-	-	ko00000	-	TerD
CAJ68518.1	1.14E-186	M	NLPA lipoprotein	ko:K02073	"ko02010,map02010"	M00238	-	-	"ko00000,ko00001,ko00002,ko02000"	3.A.1.24	Lipoprotein_9
CAJ68519.1	7.27E-242	H	Lipoate-protein ligase	ko:K03800	"ko00785,ko01100,map00785,map01100"	-	"R07770,R07771,R11143"	"RC00043,RC00070,RC00090,RC00992,RC02896"	"ko00000,ko00001,ko01000"	-	"BPL_LplA_LipB,Lip_prot_lig_C"
CAJ68520.1	0	C	Na+/H+ antiporter family	-	-	-	-	-	-	-	Na_H_antiporter
CAJ68521.1	6.18E-115	S	Protein of unknown function with HXXEE motif	-	-	-	-	-	-	-	HXXEE
CAJ68522.1	0	E	The glycine cleavage system catalyzes the degradation of glycine. The P protein binds the alpha-amino group of glycine through its pyridoxal phosphate cofactor	ko:K00282	"ko00260,ko00630,ko01100,ko01110,ko01130,ko01200,map00260,map00630,map01100,map01110,map01130,map01200"	-	"R01221,R03425"	"RC00022,RC00929,RC02834,RC02880"	"ko00000,ko00001,ko01000"	-	GDC-P
CAJ68523.1	0	E	The glycine cleavage system catalyzes the degradation of glycine. The P protein binds the alpha-amino group of glycine through its pyridoxal phosphate cofactor	ko:K00283	"ko00260,ko00630,ko01100,ko01110,ko01130,ko01200,map00260,map00630,map01100,map01110,map01130,map01200"	-	"R01221,R03425"	"RC00022,RC00929,RC02834,RC02880"	"ko00000,ko00001,ko01000"	-	GDC-P
CAJ68524.1	0	P	"ATPase, P-type (transporting), HAD superfamily, subfamily IC"	ko:K12952	-	-	-	-	"ko00000,ko01000"	3.A.3.23	"E1-E2_ATPase,Hydrolase"
CAJ68525.1	1.47E-70	S	"Catalyzes the phosphorolysis of diverse nucleosides, yielding D-ribose 1-phosphate and the respective free bases. Can use uridine, adenosine, guanosine, cytidine, thymidine, inosine and xanthosine as substrates. Also catalyzes the reverse reactions"	ko:K09913	"ko00230,ko00240,map00230,map00240"	-	"R01561,R01570,R01863,R01876,R02147,R02296,R02297"	"RC00063,RC00122"	"ko00000,ko00001,ko01000"	-	DUF1255
CAJ68526.1	1.04E-17	L	Transposase	ko:K07491	-	-	-	-	ko00000	-	Y1_Tnp
CAJ68527.1	7.98E-275	L	Helix-turn-helix domain	ko:K07496	-	-	-	-	ko00000	-	"HTH_OrfB_IS605,OrfB_IS605,OrfB_Zn_ribbon"
CAJ68528.1	9.75E-16	S	Protein of unknown function	-	-	-	-	-	-	-	"DUF1835,DUF3658"
CAJ68529.1	1.87e-315	F	Amidohydrolase family	ko:K01487	"ko00230,ko01100,map00230,map01100"	-	R01676	RC00204	"ko00000,ko00001,ko01000"	-	Amidohydro_1
CAJ68530.1	2.04E-128	K	"Cupin 2, conserved barrel domain protein"	-	-	-	-	-	-	-	"Cupin_2,HTH_3"
CAJ68531.1	7.14E-229	E	Pyridoxal-phosphate dependent enzyme	ko:K01738	"ko00270,ko00920,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00270,map00920,map01100,map01110,map01120,map01130,map01200,map01230"	M00021	"R00897,R03601,R04859"	"RC00020,RC02814,RC02821"	"ko00000,ko00001,ko00002,ko01000"	-	PALP
CAJ68532.1	0	C	Membrane domain of glycerophosphoryl diester phosphodiesterase	ko:K01126	"ko00564,map00564"	-	"R01030,R01470"	"RC00017,RC00425"	"ko00000,ko00001,ko01000"	-	"GDPD,GPDPase_memb"
CAJ68533.1	1.02E-129	S	Maltose acetyltransferase	ko:K00661	-	-	-	-	"ko00000,ko01000"	-	"Hexapep,Hexapep_2,Mac"
CAJ68534.1	2.16E-208	-	-	-	-	-	-	-	-	-	-
CAJ68535.1	9.16E-208	V	Abc transporter	ko:K01990	-	M00254	-	-	"ko00000,ko00002,ko02000"	3.A.1	ABC_tran
CAJ68536.1	8.15E-167	S	ABC-2 family transporter protein	-	-	-	-	-	-	-	-
CAJ68537.1	3.02E-170	KT	response regulator receiver	-	-	-	-	-	-	-	"Response_reg,Trans_reg_C"
CAJ68538.1	0	T	Histidine kinase	-	-	-	-	-	-	-	"HATPase_c,HisKA"
CAJ68539.1	5.62E-187	S	TraX protein	-	-	-	-	-	-	-	TraX
CAJ68540.1	3.20E-150	I	PFAM NADPH-dependent FMN reductase	-	-	-	-	-	-	-	FMN_red
CAJ68541.1	2.21E-72	K	Transcriptional regulator	-	-	-	-	-	-	-	HxlR
CAJ68542.1	5.71E-152	O	Removes 5-oxoproline from various penultimate amino acid residues except L-proline	ko:K01304	-	-	-	-	"ko00000,ko01000,ko01002"	-	Peptidase_C15
CAJ68543.1	1.39E-205	S	Protein of unknown function (DUF979)	-	-	-	-	-	-	-	DUF979
CAJ68544.1	9.98E-141	S	Protein of unknown function (DUF969)	-	-	-	-	-	-	-	DUF969
CAJ68546.1	2.58E-108	CH	Flavodoxin domain	ko:K00230	"ko00860,ko01100,ko01110,map00860,map01100,map01110"	M00121	R09489	RC00885	"ko00000,ko00001,ko00002,ko01000"	-	Flavodoxin_5
CAJ68547.1	4.37E-79	C	PFAM FMN-binding domain	-	-	-	-	-	-	-	FMN_bind
CAJ68548.1	9.81E-142	K	"Bacterial regulatory proteins, tetR family"	-	-	-	-	-	-	-	"TetR_N,WHG"
CAJ68549.1	4.19E-238	F	Inosine-uridine preferring nucleoside hydrolase	"ko:K01239,ko:K12700"	"ko00230,ko00760,ko01100,map00230,map00760,map01100"	-	"R01245,R01273,R01677,R01770,R02143"	"RC00033,RC00063,RC00122,RC00318,RC00485"	"ko00000,ko00001,ko01000"	-	IU_nuc_hydro
CAJ68550.1	4.55E-118	T	phosphorelay sensor kinase activity	ko:K16923	-	M00582	-	-	"ko00000,ko00002,ko02000"	3.A.1.28	ECF_trnsprt
CAJ68551.1	6.93E-170	S	"Elongator protein 3, MiaB family, Radical SAM"	-	-	-	-	-	-	-	-
CAJ68552.1	5.70E-180	L	DNA alkylation repair enzyme	-	-	-	-	-	-	-	DNA_alkylation
CAJ68553.1	1.01E-130	-	-	-	-	-	-	-	-	-	-
CAJ68554.1	2.43E-180	-	-	-	-	-	-	-	-	-	-
CAJ68555.1	4.47E-154	K	response regulator	-	-	-	-	-	-	-	"Response_reg,Trans_reg_C"
CAJ68556.1	7.49E-281	T	ATPase histidine kinase DNA gyrase B HSP90 domain protein	-	-	-	-	-	-	-	"HATPase_c,HisKA"
CAJ68557.1	2.54E-71	O	Belongs to the thioredoxin family	ko:K03671	"ko04621,ko05418,map04621,map05418"	-	-	-	"ko00000,ko00001,ko03110"	-	Thioredoxin
CAJ68558.1	1.04E-213	C	Pyridine nucleotide-disulphide oxidoreductase	ko:K00384	"ko00450,map00450"	-	"R02016,R03596,R09372"	"RC00013,RC02518,RC02873"	"ko00000,ko00001,ko01000"	-	Pyr_redox_2
CAJ68559.1	2.18E-80	K	"helix_turn_helix, Arsenical Resistance Operon Repressor"	-	-	-	-	-	-	-	HTH_5
CAJ68560.1	2.74E-88	S	Dinitrogenase iron-molybdenum cofactor	-	-	-	-	-	-	-	"HTH_5,Nitro_FeMo-Co"
CAJ68561.1	4.36E-103	S	"Psort location Cytoplasmic, score"	-	-	-	-	-	-	-	-
CAJ68562.1	3.32E-269	P	Arsenical pump membrane protein	-	-	-	-	-	-	-	CitMHS
CAJ68563.1	0	E	amino acid carrier protein	ko:K03310	-	-	-	-	ko00000	2.A.25	Na_Ala_symp
CAJ68564.1	5.49E-107	H	"Catalyzes the formation of 6,7-dimethyl-8- ribityllumazine by condensation of 5-amino-6-(D- ribitylamino)uracil with 3,4-dihydroxy-2-butanone 4-phosphate. This is the penultimate step in the biosynthesis of riboflavin"	ko:K00794	"ko00740,ko01100,ko01110,map00740,map01100,map01110"	M00125	R04457	RC00960	"ko00000,ko00001,ko00002,ko01000"	-	DMRL_synthase
CAJ68565.1	1.53E-287	H	"Catalyzes the conversion of D-ribulose 5-phosphate to formate and 3,4-dihydroxy-2-butanone 4-phosphate"	ko:K14652	"ko00740,ko00790,ko01100,ko01110,map00740,map00790,map01100,map01110"	"M00125,M00840"	"R00425,R07281"	"RC00293,RC01792,RC01815,RC02504"	"ko00000,ko00001,ko00002,ko01000"	-	"DHBP_synthase,GTP_cyclohydro2"
CAJ68566.1	3.02E-151	H	Riboflavin synthase	ko:K00793	"ko00740,ko01100,ko01110,map00740,map01100,map01110"	M00125	R00066	"RC00958,RC00960"	"ko00000,ko00001,ko00002,ko01000"	-	Lum_binding
CAJ68567.1	2.98E-269	H	"Converts 2,5-diamino-6-(ribosylamino)-4(3h)-pyrimidinone 5'-phosphate into 5-amino-6-(ribosylamino)-2,4(1h,3h)- pyrimidinedione 5'-phosphate"	ko:K11752	"ko00740,ko01100,ko01110,ko02024,map00740,map01100,map01110,map02024"	M00125	"R03458,R03459"	"RC00204,RC00933"	"ko00000,ko00001,ko00002,ko01000"	-	"RibD_C,dCMP_cyt_deam_1"
CAJ68568.1	0	L	RQC	ko:K03654	"ko03018,map03018"	-	-	-	"ko00000,ko00001,ko01000,ko03400"	-	"DEAD,HRDC,HTH_40,Helicase_C,RQC,RecQ_Zn_bind"
CAJ68569.1	0	H	Catalyzes the synthesis of the hydroxymethylpyrimidine phosphate (HMP-P) moiety of thiamine from aminoimidazole ribotide (AIR) in a radical S-adenosyl-L-methionine (SAM)-dependent reaction	ko:K03147	"ko00730,ko01100,map00730,map01100"	M00127	R03472	"RC03251,RC03252"	"ko00000,ko00001,ko00002,ko01000"	-	ThiC_Rad_SAM
CAJ68570.1	1.19E-37	H	ThiS family	ko:K03154	"ko04122,map04122"	-	-	-	"ko00000,ko00001"	-	ThiS
CAJ68571.1	5.05E-191	H	Thiamine biosynthesis protein ThiF	ko:K03148	"ko00730,ko01100,ko04122,map00730,map01100,map04122"	-	R07459	RC00043	"ko00000,ko00001,ko01000"	-	"ThiF,ThiS-like"
CAJ68572.1	3.26E-177	H	"Catalyzes the rearrangement of 1-deoxy-D-xylulose 5- phosphate (DXP) to produce the thiazole phosphate moiety of thiamine. Sulfur is provided by the thiocarboxylate moiety of the carrier protein ThiS. In vitro, sulfur can be provided by H(2)S"	ko:K03149	"ko00730,ko01100,map00730,map01100"	-	R10247	"RC03096,RC03097,RC03461"	"ko00000,ko00001,ko01000"	-	ThiG
CAJ68573.1	4.07E-270	C	biosynthesis protein ThiH	ko:K03150	"ko00730,ko01100,map00730,map01100"	-	R10246	"RC01434,RC03095"	"ko00000,ko00001,ko01000"	-	"BATS,Radical_SAM"
CAJ68574.1	8.36E-162	H	Thiamine monophosphate synthase	ko:K00788	"ko00730,ko01100,map00730,map01100"	M00127	"R03223,R10712"	"RC00224,RC03255,RC03397"	"ko00000,ko00001,ko00002,ko01000"	-	TMP-TENI
CAJ68575.1	3.95E-308	S	C4-dicarboxylate anaerobic carrier	-	-	-	-	-	-	-	DcuC
CAJ68576.1	0	S	RelA SpoT domain protein	-	-	-	-	-	-	-	RelA_SpoT
CAJ68577.1	8.15E-142	H	Transfers a GMP moiety from GTP to Mo-molybdopterin (Mo- MPT) cofactor (Moco or molybdenum cofactor) to form Mo- molybdopterin guanine dinucleotide (Mo-MGD) cofactor	"ko:K03752,ko:K13818"	"ko00790,ko01100,map00790,map01100"	-	R11581	-	"ko00000,ko00001,ko01000"	-	NTP_transf_3
CAJ68578.1	8.52E-83	S	CoA binding domain	ko:K06929	-	-	-	-	ko00000	-	CoA_binding_2
CAJ68579.1	3.36E-68	S	Putative heavy-metal-binding	-	-	-	-	-	-	-	YbjQ_1
CAJ68580.1	5.33E-114	H	Probable molybdopterin binding domain	-	-	-	-	-	-	-	"MOSC,MoCF_biosynth"
CAJ68581.1	3.87E-237	H	"Catalyzes the cyclization of GTP to (8S)-3',8-cyclo-7,8- dihydroguanosine 5'-triphosphate"	ko:K03639	"ko00790,ko01100,ko04122,map00790,map01100,map04122"	-	R09394	RC03420	"ko00000,ko00001,ko01000"	-	"Fer4_12,Fer4_14,Mob_synth_C,Radical_SAM"
CAJ68582.1	6.30E-94	H	"Catalyzes the conversion of (8S)-3',8-cyclo-7,8- dihydroguanosine 5'-triphosphate to cyclic pyranopterin monophosphate (cPMP)"	ko:K03637	"ko00790,ko01100,ko04122,map00790,map01100,map04122"	-	R11372	RC03425	"ko00000,ko00001,ko01000"	-	MoaC
CAJ68583.1	8.99E-99	H	MOSC domain	-	-	-	-	-	-	-	MOSC
CAJ68584.1	4.57E-287	F	"PFAM Permease for cytosine purines, uracil, thiamine, allantoin"	ko:K10974	-	-	-	-	"ko00000,ko02000"	2.A.39.1	Transp_cyt_pur
CAJ68585.1	9.00E-254	S	Protein of unknown function (DUF917)	ko:K09703	-	-	-	-	ko00000	-	DUF917
CAJ68586.3	0	EQ	PFAM Hydantoinase oxoprolinase	-	-	-	-	-	-	-	"Hydant_A_N,Hydantoinase_A"
CAJ68587.1	2.78E-275	L	Helix-turn-helix domain	ko:K07496	-	-	-	-	ko00000	-	"HTH_OrfB_IS605,OrfB_IS605,OrfB_Zn_ribbon"
CAJ68588.1	3.83E-127	S	Protein of unknown function (DUF1697)	-	-	-	-	-	-	-	DUF1697
CAJ68590.1	4.31E-181	I	Phosphate acyltransferases	ko:K00655	"ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110"	M00089	"R02241,R09381"	"RC00004,RC00037,RC00039"	"ko00000,ko00001,ko00002,ko01000,ko01004"	-	Acyltransferase
CAJ68591.1	5.58E-67	S	Protein of unknown function (DUF3795)	-	-	-	-	-	-	-	DUF3795
CAJ68592.1	3.41E-190	K	transcriptional regulator (AraC family)	-	-	-	-	-	-	-	HTH_18
CAJ68593.1	2.51E-61	-	-	-	-	-	-	-	-	-	-
CAJ68594.1	5.19E-59	-	-	-	-	-	-	-	-	-	-
CAJ68595.1	1.20E-70	-	-	-	-	-	-	-	-	-	-
CAJ68596.1	0	P	Na Pi-cotransporter II-like protein	ko:K03324	-	-	-	-	"ko00000,ko02000"	2.A.58.2	"Na_Pi_cotrans,PhoU"
CAJ68598.1	8.33E-187	D	Binds and transfers iron-sulfur (Fe-S) clusters to target apoproteins. Can hydrolyze ATP	-	-	-	-	-	-	-	ParA
CAJ68599.1	2.80E-276	S	Acetyltransferase (GNAT) domain	-	-	-	-	-	-	-	Acetyltransf_9
CAJ68600.1	2.22E-144	S	B12 binding domain	-	-	-	-	-	-	-	"B12-binding,B12-binding_2"
CAJ68601.1	1.09E-249	H	Uroporphyrinogen decarboxylase	ko:K01599	"ko00860,ko01100,ko01110,map00860,map01100,map01110"	M00121	"R03197,R04972"	RC00872	"ko00000,ko00001,ko00002,ko01000"	-	URO-D
CAJ68602.1	3.20E-150	-	-	-	-	-	-	-	-	-	-
